"","x"
"80","Super Chikan"
"81","The Joe Richardson Express"
"82","The Pale Pacific"
"83","Theuns Jordaan"
"84","The (International) Noise Conspiracy"
"85","Frédérique Spigt"
"86","Seigmen"
"87","Fred Van Hove"
"88","Nightech"
"89","Juaninacka"
"90","Yummy Bingham / Busta Rhymes"
"91","Ricky Fante"
"92","Rat Patrol"
"93","Chillout In Turin"
"94","Torres Dani és a Veni Styx"
"95","Un pinguino en mi ascensor"
"96","Jim Cuddy"
"97","Destination's Calling"
"98","Lee Lessack and Jon Philip Alman"
"99","Supersister"
"100","Martha & The Vandellas"
"101","Ginger Frolic"
"102","Mitch Benn and The Distractions"
"103","Abi Wallenstein"
"104","Japanische Kampfhörspiele"
"105","Tony Mason-Cox"
"106","Apollo 440"
"107","Paul Butterfield's Better Days"
"108","Voltage Union"
"109","Think About Mutation"
"110","Medlz"
"111","Blue Stew"
"112","Fermented Reptile"
"113","Trust Obey"
"114","Kotaro Oshio"
"115","Midnight Youth"
"116","Albert Ayler Trio"
"117","Ojm"
"118","Honeydogs"
"119","O Caiman Do Rio Tea"
"120","The Teardrop Explodes"
"121","Pussy 2000"
"122","Ian Siegal"
"123","Joy Askew"
"124","La Descente Du Coude"
"125","World Inferno/Friendship Society_ The"
"126","Nightclub"
"127","The Wohlstandskinder"
"128","A La Carte Brass & Percussion"
"129","Nuova Compagnia Di Canto Popolare"
"130","Nik Bärtsch"
"131","Jean Corti"
"132","Los Nemus del Pacifico"
"133","Zámbó Jimmy"
"134","Frank Strozier"
"135","After Dark"
"136","Köttgrottorna"
"137","The Neckbones"
"138","Paso Doble"
"139","Chuck Mangione"
"140","The Modern"
"141","The Kingbees"
"142","Joe Pesci"
"143","Decima Victima"
"144","Weeping Tile"
"145","Crash Crew"
"146","The Shore"
"147","Derniere Volonte"
"148","Carl Carlton And The Songdogs"
"149","Gabby Glaser"
"150","Rebeca Mauleón"
"151","Justin Hayward / John Lodge"
"152","Mc Créu"
"153","Nathaniel Bartlett"
"154","Pegi Young"
"155","Ultra Flirt"
"156","Som Imaginario"
"157","Lory Bianco"
"158","The Freed Unit"
"159","Decadence"
"160","Arne Weise"
"161","Bram Vermeulen"
"162","Mystic Revealers"
"163","Your Brother in My Backpack"
"164","Lotte Ohm"
"165","Nasio Fontaine"
"166","Alex Swings Oscar Sings!"
"167","Kitbuilders"
"168","Fuat"
"169","Clã E Sérgio Godinho"
"170","Girl Eats Boy"
"171","Xiii. Stoleti"
"172","Suffering And The Hideous Thieves"
"173","Park-Like Setting"
"174","Mauro Pagani"
"175","Daniël Lohues"
"176","Time Has Come"
"177","Abe Duque feat. Blake Baxter"
"178","Fröbelin Palikat"
"179","Eric Sarmiento"
"180","Eugene Hideaway Bridges"
"181","Dima Krasnik & Vol Deeman"
"182","Gabriel Gordon"
"183","Margie Bermejo"
"184","Mark-Anthony Abel"
"185","Thee Fine Lines"
"186","Roey Marquis II."
"187","Amalia Avgoustaki"
"188","Irini Merkouri"
"189","Cub Country"
"190","Novos Baianos"
"191","B.E.N & Mr. Pit"
"192","Boo Reka"
"193","3-2 Get Funky"
"194","Les Hou-Lops"
"195","Roadside Monument"
"196","Gina V. D'Orio"
"197","RONNIE RONALDE"
"198","Chris Smither"
"199","Dumptruck"
"200","Die Unsichtbaren"
"201","83"
"202","Bob James And Earl Klugh"
"203","Graham Central Station"
"204","SKC & Bratwa"
"205","Theo Hakola"
"206","Bechet Spanier Big Four"
"207","Two Stars Burning Sun"
"208","Bon Scott With Fraternity"
"209","Joe Zangie"
"210","A Faith Called Chaos"
"211","Fred Åkerström"
"212","Sombre View"
"213","McGuinn_ Clark & Hillman"
"214","Bing Crosby_ Judy Garland"
"215","Grossomodo"
"216","The Mystic Moods Orchestra"
"217","Riviera Regime"
"218","Hazmat Modine"
"219","Legs on Earth"
"220","Mani Spinx"
"221","Jorgen Ingmann"
"222","Riky Maltese"
"223","All About Chad"
"224","Phil Miller"
"225","Vertigo Angels"
"226","The Gena Rowlands Band"
"227","Glampire"
"228","X Makeena"
"229","Steve Riley & The Mamou Playboys"
"230","Highway 9"
"231","Russel Garcia"
"232","Steady Mobb'n"
"233","David & Steve Gordon"
"234","Dog Faced Gods"
"235","Empty Trash"
"236","Gambafreaks"
"237","Liléa narrative"
"238","Ammer - Einheit - Haage"
"239","Ace Troubleshooter"
"240","Hasna el Becharia"
"241","Gene Latter"
"242","The Big Screen"
"243","DJ Shah meets York"
"244","Latex Empire"
"245","Fes-te Fotre"
"246","Digital Karma"
"247","Ross154"
"248","Ross 154"
"249","Klaus & Kinski"
"250","The Paradons"
"251","Lonesome Standard Time"
"252","Seine"
"253","Walkers"
"254","Terry Lee Brown Junior"
"255","Ray Brown Trio / Ralph Moore"
"256","Liv Marit Wedvik"
"257","Boyd Bennett & His Rockets"
"258","Rasta Bigoud"
"259","Walela"
"260","Robert Rodriguez_ Graeme Revell"
"261","Lesette Wilson"
"262","Once11"
"263","John Wilkes Booze"
"264","Inner City Unit"
"265","Baby Calendar"
"266","Fanny Brice"
"267","Melanie Garside"
"268","Montauk P"
"269","Sergio Denis"
"270","Barão Vermelho"
"271","Hot Club De Paris"
"272","Kittens for Christian"
"273","The Red Hot Valentines"
"274","Stephen Mallinder"
"275","Rough & Ready"
"276","Grand Ulena"
"277","Seth Troxler & Patrick Russell"
"278","SemiBruce"
"279","Galore"
"280","Grand Stand"
"281","Trace Decay"
"282","Two Culture Clash feat. Big Youth"
"283","House of Large Sizes"
"284","Thee Headcoats Sect"
"285","Dannii Minogue And The Soul Seekerz"
"286","Jack Orsen feat. Chablife"
"287","Outputmessage"
"288","Robert Wyatt; Carla Bley; Steve Swallow; Jack DeJohnette; Terje Rypdal"
"289","The Grid"
"290","Monika Kruse@Voodooamt"
"291","Chirie Vegas"
"292","The Whiles"
"293","E. A. POE"
"294","Necronomitron"
"295","Dan Brodie And The Broken Arrows"
"296","Daylight Torn"
"297","The Original Five Blind Boys Of Mississippi"
"298","Damn Arms"
"299","Killa"
"300","DJ Taz"
"301","Sodamnloud"
"302","Dean Fraser"
"303","Nuclear Valdez"
"304","Dawid Szczesny"
"305","Sancocho"
"306","L'Invasione degli Omini Verdi"
"307","The Bop Chords"
"308","Glenmark/Eriksson/Strömstedt"
"309","The Choirboys"
"310","Marcel Kanche"
"311","Shorthanded"
"312","Don Nix"
"313","Artie ""Blues Boy"" White"
"314","Sonny Til & The Orioles"
"315","BT_ Tommy Stinson"
"316","Dillard Chandler"
"317","Ted Nugent's Amboy Dukes"
"318","Liberty N Justice"
"319","Dj Fury"
"320","Matt Mays"
"321","Traffic Jam"
"322","Ministère Amer"
"323","Dan Brodie"
"324","Gez Varley"
"325","The Worthless United"
"326","Kid Bailey"
"327","Domased"
"328","The Lovethugs"
"329","Deon Estus"
"330","Devanic"
"331","DJ Guy featuring DJ Knowledge"
"332","Noel Parlane"
"333","Roy Roberts"
"334","Alvino Rey And His Orchestra"
"335","Speedbuggy USA"
"336","Pucho & His Latin Soul Brothers"
"337","Gangster Fun"
"338","El Último Ke Zierre"
"339","Neïmo"
"340","Neimo"
"341","Kim Fox"
"342","Stu Hirst"
"343","Art Lande_ Jan Garbarek"
"344","Path Of Resistance"
"345","Da Mongoloids"
"346","Special Needs"
"347","Members Of Mayday"
"348","María Elena Walsh"
"349","Mike And The Mechanics"
"350","Stefani Vara"
"351","The Counts"
"352","Ed Case;Elisabeth Troy"
"353","candycream"
"354","Bass Trip"
"355","Gary U.S. Bonds"
"356","The Undecided"
"357","7 Sharp 9"
"358","Frank Chacksfield And His Orchestra"
"359","Los Masis"
"360","Girls On Film"
"361","Jan Leyers"
"362","Thee Hydrogen Terrors"
"363","Johan Skugge"
"364","Questions In Dialect"
"365","Golden Bear"
"366","Flowin Immo et Les Freaqz"
"367","Crimson Spectre"
"368","David Scott"
"369","The Watts 103rd. Street Rhythm Band"
"370","Sandy Mouche"
"371","Mr Gelatine"
"372","Genya Ravan"
"373","Anton Chernikov"
"374","The Sunshine Boys"
"375","Piskie Sits"
"376","Ophélie Winter"
"377","Edi Fitzroy"
"378","Brent Bourgeois"
"379","Attack Formation"
"380","Truls And The Trees"
"381","Ronnie Dove"
"382","Anup"
"383","Meryn Cadell"
"384","Albert Castiglia"
"385","Heavyweight Dub Champion"
"386","Hanna-McEuen"
"387","The Shake"
"388","Natália Mallo"
"389","Derek Miller"
"390","Toots Hibbert"
"391","Tracy Nelson"
"392","Elliott The Letter Ostrich"
"393","Porno para Ricardo"
"394","Mr. Bassman"
"395","Cricco Castelli"
"396","The Franciscan Hobbies"
"397","Channels 3x4"
"398","Outer Circle"
"399","Brassmunk"
"400","Anita Bryant"
"401","Clif Magness"
"402","The Treacherous Three"
"403","Savoy-Doucet Cajun Band"
"404","Résistance"
"405","Tres Tristes Tigres"
"406","Royal Crescent Mob"
"407","Domu presents Pete Simpson"
"408","Amazing Transparent Man"
"409","Suicide Booth"
"410","Dave Derby"
"411","Les Malpolis"
"412","Barbez!"
"413","Xose Manuel Budiño"
"414","3 Canal"
"415","Screw 32"
"416","Lina Margy"
"417","Béla Fleck and the Flecktones"
"418","S.U.P"
"419","Lil Johnson"
"420","Joe Lopez"
"421","Agenda of Swine"
"422","Pictures of Then"
"423","Count Basie And Joe Williams"
"424","Future Kings Of Spain"
"425","The Teen Queens"
"426","Big John Greer"
"427","Bonnie Guitar"
"428","Mickey Katz"
"429","The Smooths"
"430","Havana Black"
"431","Danilo Perez / Claus Ogerman"
"432","Bullets To Broadway"
"433","Mark Bacino"
"434","Gus Viseur"
"435","Kari Tapio"
"436","La Base"
"437","Ekseption"
"438","DJ Wally"
"439","Jansen/Barbieri"
"440","Fotomaker"
"441","Gorch Fock"
"442","Photon Project"
"443","Oldelaf et Monsieur D"
"444","Bandit"
"445","The Turn-Ons"
"446","Fatback"
"447","Age Of Chance"
"448","Lets Get Out Of This Terrible Sandwich Shop"
"449","The Jazz Messengers"
"450","DJ Markitos"
"451","Ángeles del Infierno"
"452","Angeles del Infierno"
"453","Tara Putra"
"454","Jazz Gillum"
"455","Orquestra"
"456","T.p. Orchestre Poly-rythmo"
"457","The Jordanaires & Orion"
"458","Heraldo Do Monte"
"459","Andreas Mattsson"
"460","Payola"
"461","Tim Love Lee"
"462","Tim 'Love' Lee"
"463","Moving Cloud"
"464","Luke Eargoggle"
"465","Hopalong Knut"
"466","Kingston Falls"
"467","Tycoon"
"468","While"
"469","Rod Mason"
"470","Tout Simplement Noir"
"471","Lalleshwari (Katie Jane Garside)"
"472","Kay D. Smith"
"473","Galerie Schallschutz"
"474","The Bonzo Dog Band"
"475","Crazyhead"
"476","Vulgaires Machins"
"477","Rattlesnake Remedy"
"478","Elliot Easton"
"479","Rossington Collins Band"
"480","Kirk Fletcher"
"481","Askil Holm"
"482","Rita Chiarelli"
"483","Freekbass"
"484","Sue Keller"
"485","JoeyStarr"
"486","Sticks & Stones"
"487","Chris Connelly and the Bells"
"488","Micro Audio Waves"
"489","Mundo Complexo"
"490","Ferris"
"491","Traks"
"492","Smokehouse"
"493","La Unión"
"494","Secret Oyster"
"495","Sul.a"
"496","Jim Nabors"
"497","Marvin & Johnny"
"498","Elia Cmiral"
"499","Gaskin"
"500","Bikini Machine"
"501","Mystic Rhythms"
"502","Charlie Drake"
"503","Nellie Lutcher"
"504","Ideal Free Distribution"
"505","Beau Jocque_ The Zydeco Hi-Rollers"
"506","Tony Murena"
"507","O'2L"
"508","Jimmy Wakely"
"509","Edgar Winter's White Trash"
"510","Too Strong (mit Rough Dee)"
"511","Los Inquietos"
"512","Jamelão"
"513","The wee djs"
"514","UMOJA"
"515","Scott Glasgow"
"516","Loer Velocity"
"517","Gregory Isaacs & Dennis Brown"
"518","Number One Cup"
"519","Dorsey Burnette"
"520","Day For Night"
"521","Rex Allen"
"522","Alex Chilton"
"523","Team SR"
"524","p.A.F.F."
"525","The Muckruckers"
"526","Cripple Clarence Lofton"
"527","Love Me Destroyer"
"528","Terry Ferminal"
"529","Stacy Kidd"
"530","Patsy MONTANA / The PRAIRIE RAMBLERS"
"531","Miguel Mateos - Zas"
"532","Mafalda Veiga e João Pedro Pais"
"533","Ella Washington"
"534","The Clutters"
"535","Skallander"
"536","Carl Crack"
"537","Michael Stanley Band"
"538","Riley Puckett"
"539","Leon Rosselson"
"540","Alexis Korner's Blues Incorporated"
"541","Dale & Grace"
"542","Babs Gonzales"
"543","George Faith"
"544","Mandy Barnett"
"545","Groupa"
"546","JennyAnyKind"
"547","No More Lies"
"548","David ""Honeyboy"" Edwards"
"549","Human Disease"
"550","Bill Black's Combo"
"551","Jena Berlin"
"552","Jerry Lewis"
"553","Blind Joe Taggart"
"554","Mike Leon Grosch"
"555","Star Off Machine"
"556","Tall Dwarfs"
"557","The Doc Watson Family"
"558","Eastern Lane"
"559","Larry Garner"
"560","Floyd Tillman"
"561","Daby Balde"
"562","Patrick Alavi"
"563","Flop"
"564","Una Mae Carlisle"
"565","Paik"
"566","Abraham Laboriel"
"567","Geoff Muldaur"
"568","Hampton String Quartet"
"569","Flybanger"
"570","Diomedes Diaz _ Juancho Rois"
"571","Francky Vincent"
"572","Hall Of Fame"
"573","Faye Adams"
"574","Rev. Gary Davis"
"575","The Steeles"
"576","Gisselle"
"577","Mick Clarke"
"578","Edith Lefel"
"579","L'Arc~en~Ciel"
"580","Dogs Of Peace"
"581","The Cuff Links"
"582","Ronee Blakley"
"583","Bruce Rowland"
"584","Kevin Braheny"
"585","Rip Van Hippy"
"586","Hélène Segara"
"587","Blessid Union Of Souls"
"588","Se:Sa Featuring Sharon Phillips"
"589","The Satintones"
"590","Deckard"
"591","Glen Washington"
"592","Catz n´Dogz"
"593","Joni James"
"594","La Ira De Dios"
"595","Dave Hamilton"
"596","Bob Neuwirth"
"597","Glenn Mercer"
"598","Mr. John"
"599","The Paramounts"
"600","Sharon Burch"
"601","The Takeovers"
"602","The Mohawk Lodge"
"603","Dik Dik"
"604","Eddie Flashin Fowlkes"
"605","Mick Farren"
"606","Jelly Roll Kings"
"607","The Foundry Field Recordings"
"608","Jeff Rona"
"609","Portable"
"610","Kerrs Pink"
"611","Controlled Fusion"
"612","New Radiant Storm King"
"613","Laurel Canyon Ramblers"
"614","Franz Waxman_ Joel McNeely_ Royal Scottish National Orchestra"
"615","Don Willis"
"616","Azeem"
"617","Grin"
"618","Carlos Ponce"
"619","Souls"
"620","Skeets McDonald"
"621","Hanns Dieter Hüsch"
"622","Georgia White"
"623","Stew"
"624","Love Joys"
"625","Crematorium"
"626","Musafir"
"627","Gato Perez"
"628","Alejandro Santiago"
"629","Mick Est Tout Seul"
"630","Ottmar Liebert + Luna Negra"
"631","Samuel Flynn Scott"
"632","The Wilde Flowers"
"633","France D'Amour"
"634","Indo Aminata"
"635","Hugh Dillon"
"636","J. Peter Robinson"
"637","Margarida Pinto"
"638","Lisahall"
"639","Trisco"
"640","The June Spirit"
"641","Weasel Walter"
"642","Kotebel"
"643","SUE THOMPSON"
"644","Forty Winks"
"645","The Vara-Tones"
"646","Parallel or 90 Degrees"
"647","Wooden Wand And The Vanishing Voice"
"648","The Occasional Keepers"
"649","Antigen Shift"
"650","Didier Lockwood"
"651","John Littlejohn"
"652","Subsky"
"653","Willie Kent"
"654","Lara"
"655","Laurel & Hardy"
"656","Café Drechsler"
"657","The Jason Bonham Band"
"658","The Cadets"
"659","Resistance 77"
"660","On A Pale Horse"
"661","Aerosis"
"662","Lord Invader"
"663","The Primeridian"
"664","Evan Parker Electro-Acoustic Ensemble"
"665","The Woggles"
"666","The Applejacks"
"667","Whitney Cummings"
"668","Mark Mallman"
"669","Part 2 featuring Sandra Melody & Speech"
"670","Elsa Garcia"
"671","Triumph The Insult Comic Dog"
"672","Diesel Park West"
"673","Sawt El Atlas"
"674","Cooler Kids"
"675","Lt. Stitchie"
"676","Rodgau Monotones"
"677","Screamfeeder"
"678","Alison Brown"
"679","Polytechnic"
"680","Continental Drifters"
"681","Boyd Tinsley"
"682","Malcolm X"
"683","Nando Lauria"
"684","Bradley Leighton"
"685","Sargasso Trio"
"686","Angélica Maria"
"687","Pablo Montero"
"688","Frl.Menke"
"689","Pierrot Lunaire"
"690","Eight Frozen Modules"
"691","Astream"
"692","Ena Pá 2000"
"693","The Microscopic Septet"
"694","Fire Island"
"695","Pete Townshend & Ronnie Lane"
"696","Nights Like These"
"697","Dirty Old Ann"
"698","Dead or American"
"699","Novadriver"
"700","Poney Poney"
"701","The Old Haunts"
"702","Tattoo Rodeo"
"703","Cathal Coughlan"
"704","Vinícius Calderoni"
"705","Rocio Banquells"
"706","Melys"
"707","Dave 'Baby' Cortez"
"708","Tomas Bodin"
"709","God Is My Co-Pilot"
"710","S.Y.P.H."
"711","Mau Mau"
"712","Issam Houshan"
"713","Mark Medlock & Dieter Bohlen"
"714","JVOX"
"715","Royal Treatment Plant"
"716","Evan Olson"
"717","Mojo Nixon & The Toad Liquors"
"718","Royalistick"
"719","Cool Hipnoise"
"720","Dons"
"721","Solarstone & Orkidea"
"722","Mike Nichol"
"723","The Jazz Butcher Conspiracy"
"724","Cha Cha Cohen"
"725","Paul Overstreet"
"726","Chris Hillman"
"727","Jesse Mae Hemphill"
"728","Neon Hunk"
"729","Alcohol Funnycar"
"730","Jill Cunniff"
"731","A Thousand Knives Of Fire"
"732","Juan Carmona"
"733","Earth Nation"
"734","Damian Schwartz"
"735","Havalina Rail Company"
"736","Jo Jo Gunne"
"737","Sylk 130"
"738","Burn In Silence"
"739","Koufax"
"740","Any Trouble"
"741","David Jalbert"
"742","Sister Double Happiness"
"743","Nathan Abshire"
"744","Oztara"
"745","Lake Trout"
"746","Erik De Koning"
"747","Tunnel Rats"
"748","Champion Jack Dupree"
"749","Tex Williams"
"750","Pee Wee King"
"751","Jeanne Pruett"
"752","Mariano Yanani"
"753","Juliet Turner"
"754","Johnny Hickman"
"755","Second Coming"
"756","Ejectorseat"
"757","Honeyrider"
"758","Slowride"
"759","Buy Now!"
"760","Lionel Hampton and his orchestra"
"761","Jair Rodrigues"
"762","Tim Fischer"
"763","Count Zero"
"764","Jemini the Gifted One"
"765","Pro>Tech"
"766","Dissziplin"
"767","5 Royales"
"768","My Computer"
"769","Oscar Brand"
"770","Big Bill Morganfield"
"771","The Ipanemas"
"772","Starshooter"
"773","James Galway"
"774","Quazar"
"775","The Grassy Knoll"
"776","Rádio Macau"
"777","Vanilla Pod"
"778","Jannick Top"
"779","Jeff Wahl"
"780","High Fashion"
"781","Cowboy Prostitutes"
"782","Damon Aaron"
"783","The Blues Band"
"784","Poor Rich Ones"
"785","The Chrome Cranks"
"786","For Real"
"787","Little Junior Parker"
"788","Latte E Miele"
"789","Billy J. Kramer"
"790","Memphis La Blusera"
"791","Jazzy B"
"792","Billy ""The Kid"" Emerson"
"793","Jackson United"
"794","John Selway"
"795","Ultrakurt"
"796","Phil Kline"
"797","Paul Avgerinos"
"798","Marc Miroir"
"799","Lluis Llach"
"800","Carrie Newcomer"
"801","Don Grusin"
"802","Il disordine delle cose"
"803","Moving Ninja"
"804","La Pestilencia"
"805","Jesse Dayton"
"806","Paquita La Del Barrio"
"807","Studebaker John & The Hawks"
"808","Lennie Tristano"
"809","Virna Lindt"
"810","Ensemble PAN"
"811","Le Rat Luciano"
"812","Embargo"
"813","Robert Pete Williams"
"814","Reed Foehl"
"815","Zanzibar"
"816","Cold Blood"
"817","Elek Bacsik"
"818","Dexter Romweber"
"819","Shinjuku Thief"
"820","Zap Pow"
"821","Joshua Rifkin"
"822","Railer"
"823","Savon"
"824","DeGarmo & Key"
"825","Little Beaver"
"826","Another Fine Day"
"827","Hello Sailor"
"828","Jimmy Yancey"
"829","Guitar Slim"
"830","Afenginn"
"831","Gil Semedo"
"832","Tim Rogers"
"833","Dancing Fantasy"
"834","Training For Utopia"
"835","Dave Holland Sextet"
"836","Jasbir Jassi"
"837","Windmills By The Ocean"
"838","Manishevitz"
"839","Equipe 84"
"840","Spoiler"
"841","Creaming Jesus"
"842","Organic Grooves"
"843","Akotcha"
"844","Tracy Gang Pussy"
"845","Kimara Lovelace"
"846","Blind Ego"
"847","Naimh Parsons & Arcady"
"848","Danny Bryant's RedEyeBand"
"849","The Charms"
"850","Heiner Goebbels"
"851","Line Renaud"
"852","Bobby Hackett_ Jack Teagarden"
"853","Bobby Hackett"
"854","Starpoint"
"855","Mariem Hassan"
"856","Lester Flatt"
"857","Even In Blackouts"
"858","Slaï"
"859","Rumillajta"
"860","Mixel Pixel"
"861","Anubian Lights"
"862","Les Dudek"
"863","Benny Green"
"864","Morthem Vlade Art"
"865","Causey Way"
"866","Jack Dangers"
"867","The Blockheads"
"868","Coltrane Motion"
"869","ImpLOG"
"870","Long John Baldry"
"871","El Guapo Stuntteam"
"872","The Muffins"
"873","Liquid Zen"
"874","Antifreeze"
"875","The Jeff Beck Group"
"876","Mischa Daniels"
"877","Doctors Of Madness"
"878","Voices of Theory_ Voices of Theory"
"879","Mae West"
"880","Great Northern"
"881","Overwhelming Colorfast"
"882","Dale Warland Singers"
"883","Le Vrai Ben"
"884","Mike Marshall & Chris Thile"
"885","At All Cost"
"886","Eat"
"887","Willy Porter"
"888","The Tyde"
"889","Throttlerod"
"890","Leroy Gibbons"
"891","Yami Bolo"
"892","Joe 90"
"893","Bobby Taylor"
"894","DJ Mozy"
"895","Rod Piazza & The Mighty Flyers"
"896","Ladyfuzz"
"897","Laszlo Hortobagyi"
"898","Favretto"
"899","Angela Ro Ro"
"900","Zachary Richard"
"901","Esa Pakarinen"
"902","Dalto"
"903","Françoise Hardy"
"904","Swen Weber"
"905","Bobby Short"
"906","Peps Blodsband"
"907","Lird Van Goles"
"908","Baby Boy Da Prince"
"909","Little Tony"
"910","Stampin´ Ground"
"911","Don Griffin"
"912","Keith Martin"
"913","Vassar Clements"
"914","Johnny Clarke / The Aggrovators"
"915","Udo Lindenberg;Helge Schneider"
"916","The Homens"
"917","Grimmstine"
"918","Judy Cheeks"
"919","Cab Calloway And His Orchestra"
"920","Carlos Jean"
"921","Donna Maria"
"922","Mother Superior"
"923","Mark Whitfield"
"924","Sylvester Weaver"
"925","Jesper Dahlback"
"926","Evan Dando"
"927","The Peepshows"
"928","Brian Auger's Oblivion Express"
"929","Consolidated"
"930","Natalie Gauci"
"931","Cyrus Chestnut"
"932","Let's Active"
"933","Red Nichols"
"934","Peran"
"935","Dawn of Relic"
"936","Robert Calvert"
"937","Guildo Horn feat. Pomp & Brass"
"938","The Warren Brothers"
"939","Otomo Yoshihide"
"940","Oakley Hall"
"941","Factums"
"942","Butane"
"943","Stephan Remmler"
"944","Super_Collider"
"945","Singing Melody"
"946","Barbara McNair"
"947","Dekad"
"948","Jil Caplan"
"949","Ramsey Lewis & Earth_ Wind & Fire"
"950","Mulgrew Miller"
"951","Chris Spedding"
"952","Gabinete Caligari"
"953","Palm Skin Productions"
"954","Tom Grant"
"955","The Battle Royale"
"956","Biréli Lagrène"
"957","Rauli Badding Somerjoki"
"958","Spizzenergi"
"959","New Limit"
"960","Mark Lemhouse"
"961","Asheni"
"962","Appliance"
"963","Telefuzz"
"964","Go To Blazes"
"965","Nu:Tone & Logistics"
"966","The Loafers"
"967","Cal Tjader / Eddie Palmieri"
"968","Dan Reed Network"
"969","Prince Alla"
"970","The Blue Bloods"
"971","Glass Ghost"
"972","Jimmy McCracklin"
"973","DMZ"
"974","Ray_ Goodman & Brown"
"975","Jet Black Crayon"
"976","SUTCLIFFE JÜGEND"
"977","Jake Hess"
"978","Clare Teal"
"979","Resin Dogs"
"980","Jim Stärk"
"981","Countach"
"982","Tiziana Ghiglioni"
"983","Denise Lasalle"
"984","Inkwell"
"985","Harlan T. Bobo"
"986","Denis Naidanow"
"987","KA SO RE"
"988","Osanna"
"989","SCYCS"
"990","CDOASS"
"991","Frank Chacksfield & His Orchestra"
"992","Not Breathing"
"993","Alberto Cortez"
"994","Dragons Of Zynth"
"995","Klubbdriver"
"996","Andy Yorke"
"997","Royal Flush"
"998","Jeff Beck & The Big Town Playboys"
"999","OP: L Bastards"
"1000","Alan O'Day"
"1001","Mitchell Akiyama"
"1002","4ft Fingers"
"1003","Tommy Dorsey & His Orchestra;Frank Sinatra"
"1004","Tommy Dorsey and His Orchestra"
"1005","Deion Sanders"
"1006","Kevin Hewick"
"1007","Chukki Starr"
"1008","Darc Mind"
"1009","National Health"
"1010","Cause For Alarm"
"1011","KaiserCartel"
"1012","Brilliant Red Lights"
"1013","IIIRD Tyme Out"
"1014","The Dum Dum Project"
"1015","Subzonic"
"1016","OIO AI"
"1017","The Fontane Sisters"
"1018","Psychopomps"
"1019","The Monitors"
"1020","Dokaka"
"1021","Bill Wyman's Rhythm Kings"
"1022","The Gregg Allman Band"
"1023","Videodrone"
"1024","Tal M. Klein"
"1025","Onur Özer"
"1026","Clint Eastwood & General Saint"
"1027","Latimore"
"1028","Kevin Blechdom"
"1029","Beatnik Termites"
"1030","Little Roy"
"1031","Oceanic"
"1032","New Flesh For Old"
"1033","Richard Grey feat. ZoëXenia"
"1034","George S. Clinton"
"1035","Ester Drang"
"1036","The Sweetest Ache"
"1037","Delon & Dalcan"
"1038","Robert Wilkins"
"1039","FRANK T"
"1040","Venice"
"1041","Theodore Shapiro"
"1042","Carol Jiani"
"1043","40 Grit"
"1044","Rishi Rich"
"1045","Asys"
"1046","J.B. Hutto"
"1047","Oystein Sevag"
"1048","Grandpa Jones"
"1049","Brian Melo"
"1050","New Fast Automatic Daffodils"
"1051","All Natural Lemon & Lime Flavors"
